id_aula,id_docente
1,7
2,7
3,20
4,20
5,17
6,17
7,16
8,16
9,21
10,21
11,19
12,19
13,15
14,15
15,10
16,10
17,6
18,6
19,21
20,21
21,7
22,7
23,27
24,27
25,12
26,12
27,3
28,3
29,19
30,19
31,20
32,20
33,22
34,22
35,20
36,20
37,24
38,24
39,25
40,25
41,24
42,24
43,13
44,13
45,24
46,24
47,13
48,13
49,8
50,8
51,7
52,7
53,23
54,23
55,27
56,27
57,8
58,8
59,10
60,10
61,12
62,12
63,9
64,9
65,15
66,15
67,9
68,9
69,4
70,4
71,17
72,17
73,5
74,5
75,8
76,8
77,7
78,7
79,3
80,3
81,17
82,17
83,26
84,26
85,16
86,16
87,17
88,17
89,3
90,3
91,27
92,27
93,24
94,24
95,17
96,17
97,26
98,26
99,16
100,16
101,4
102,4
103,19
104,19
105,6
106,6
107,11
108,11
109,22
110,22
111,5
112,5
113,23
114,23
115,10
116,10
117,20
118,20
119,16
120,16
121,16
122,16
123,20
124,20
125,19
126,19
127,18
128,18
129,13
130,13
131,21
132,21
133,11
134,11
135,3
136,3
137,13
138,13
139,4
140,4
141,19
142,19
143,6
144,6
145,25
146,25
147,5
148,5
149,3
150,3
151,11
152,11
153,19
154,19
155,17
156,17
157,17
158,17
159,19
160,19
161,9
162,9
163,15
164,15
165,10
166,10
167,14
168,14
169,13
170,13
171,22
172,22
173,27
174,27
175,18
176,18
177,16
178,16
179,12
180,12
181,26
182,26
183,12
184,12
185,27
186,27
187,22
188,22
189,5
190,5
191,26
192,26
193,16
194,16
195,13
196,13
197,12
198,12
199,9
200,9
201,27
202,27
203,25
204,25
205,19
206,19
207,23
208,23
209,18
210,18
211,3
212,3
213,21
214,21
215,13
216,13
217,26
218,26
219,18
220,18
221,8
222,8
223,6
224,6
225,20
226,20
227,14
228,14
229,11
230,11
231,7
232,7
233,20
234,20
235,4
236,4
237,27
238,27
